"Date","Price","Open","High","Low","Vol.","Change %"
"12/29/2023","7.8086","7.8131","7.8179","7.8074","","-0.06%"
"12/28/2023","7.8130","7.8102","7.8179","7.8095","","0.04%"
"12/27/2023","7.8099","7.8080","7.8181","7.8074","","0.03%"
"12/26/2023","7.8074","7.8119","7.8144","7.8063","","-0.05%"
"12/25/2023","7.8114","7.8126","7.8168","7.8088","","-0.01%"
"12/22/2023","7.8124","7.8095","7.8166","7.8081","","0.05%"
"12/21/2023","7.8083","7.8071","7.8116","7.8033","","0.01%"
"12/20/2023","7.8073","7.7989","7.8090","7.7978","","0.12%"
"12/19/2023","7.7983","7.7958","7.8024","7.7934","","0.03%"
"12/18/2023","7.7957","7.8026","7.8052","7.7943","","-0.09%"
"12/15/2023","7.8025","7.8074","7.8088","7.8006","","-0.06%"
"12/14/2023","7.8074","7.8110","7.8120","7.8053","","-0.04%"
"12/13/2023","7.8107","7.8092","7.8147","7.8060","","0.02%"
"12/12/2023","7.8089","7.8052","7.8112","7.8017","","0.05%"
"12/11/2023","7.8049","7.8084","7.8122","7.8040","","-0.04%"
"12/08/2023","7.8082","7.8116","7.8155","7.8074","","-0.04%"
"12/07/2023","7.8114","7.8113","7.8154","7.8074","","0.00%"
"12/06/2023","7.8111","7.8193","7.8197","7.8081","","-0.10%"
"12/05/2023","7.8188","7.8159","7.8200","7.8139","","0.04%"
"12/04/2023","7.8158","7.8145","7.8175","7.8122","","0.02%"
"12/01/2023","7.8143","7.8102","7.8155","7.8096","","0.05%"
"11/30/2023","7.8106","7.8043","7.8120","7.8021","","0.08%"
"11/29/2023","7.8042","7.7966","7.8061","7.7940","","0.10%"
"11/28/2023","7.7963","7.7913","7.7982","7.7882","","0.07%"
"11/27/2023","7.7910","7.7931","7.7941","7.7857","","0.00%"
"11/24/2023","7.7908","7.7993","7.7999","7.7911","","-0.10%"
"11/23/2023","7.7986","7.7965","7.7997","7.7940","","0.03%"
"11/22/2023","7.7964","7.7962","7.8014","7.7946","","0.01%"
"11/21/2023","7.7958","7.7933","7.7969","7.7894","","0.03%"
"11/20/2023","7.7931","7.7957","7.7979","7.7901","","-0.02%"
"11/17/2023","7.7949","7.8012","7.8031","7.7948","","-0.08%"
"11/16/2023","7.8011","7.8068","7.8109","7.7993","","-0.07%"
"11/15/2023","7.8067","7.8049","7.8081","7.8029","","0.03%"
"11/14/2023","7.8042","7.8083","7.8111","7.8045","","-0.05%"
"11/13/2023","7.8081","7.8100","7.8120","7.8067","","-0.02%"
"11/10/2023","7.8096","7.8085","7.8127","7.8032","","0.02%"
"11/09/2023","7.8077","7.8147","7.8159","7.8075","","-0.09%"
"11/08/2023","7.8148","7.8196","7.8204","7.8140","","-0.06%"
"11/07/2023","7.8192","7.8207","7.8224","7.8178","","-0.02%"
"11/06/2023","7.8208","7.8246","7.8250","7.8191","","-0.04%"
"11/03/2023","7.8241","7.8247","7.8275","7.8238","","0.00%"
"11/02/2023","7.8244","7.8236","7.8259","7.8218","","0.01%"
"11/01/2023","7.8235","7.8243","7.8258","7.8215","","0.00%"
"10/31/2023","7.8237","7.8208","7.8257","7.8199","","0.04%"
"10/30/2023","7.8206","7.8217","7.8226","7.8200","","-0.01%"
"10/27/2023","7.8214","7.8208","7.8228","7.8182","","0.01%"
"10/26/2023","7.8207","7.8217","7.8244","7.8199","","-0.01%"
"10/25/2023","7.8213","7.8235","7.8249","7.8211","","-0.02%"
"10/24/2023","7.8230","7.8240","7.8252","7.8210","","-0.01%"
"10/23/2023","7.8238","7.8242","7.8267","7.8233","","0.00%"
"10/20/2023","7.8240","7.8242","7.8256","7.8190","","0.01%"
"10/19/2023","7.8235","7.8299","7.8301","7.8228","","-0.08%"
"10/18/2023","7.8296","7.8241","7.8300","7.8219","","0.07%"
"10/17/2023","7.8240","7.8166","7.8246","7.8161","","0.10%"
"10/16/2023","7.8164","7.8245","7.8253","7.8163","","-0.10%"
"10/13/2023","7.8244","7.8239","7.8254","7.8210","","0.01%"
"10/12/2023","7.8237","7.8198","7.8245","7.8179","","0.05%"
"10/11/2023","7.8196","7.8193","7.8220","7.8156","","0.01%"
"10/10/2023","7.8188","7.8292","7.8307","7.8180","","-0.13%"
"10/09/2023","7.8289","7.8319","7.8327","7.8284","","-0.03%"
"10/06/2023","7.8313","7.8306","7.8328","7.8298","","0.02%"
"10/05/2023","7.8300","7.8286","7.8319","7.8277","","0.02%"
"10/04/2023","7.8286","7.8321","7.8330","7.8280","","-0.04%"
"10/03/2023","7.8320","7.8320","7.8345","7.8283","","0.00%"
"10/02/2023","7.8320","7.8308","7.8330","7.8300","","0.02%"
"09/29/2023","7.8307","7.8295","7.8327","7.8260","","0.02%"
"09/28/2023","7.8293","7.8206","7.8302","7.8203","","0.12%"
"09/27/2023","7.8201","7.8211","7.8239","7.8197","","-0.01%"
"09/26/2023","7.8208","7.8163","7.8231","7.8158","","0.07%"
"09/25/2023","7.8156","7.8197","7.8208","7.8135","","-0.05%"
"09/22/2023","7.8199","7.8210","7.8217","7.8172","","-0.01%"
"09/21/2023","7.8205","7.8231","7.8264","7.8190","","-0.02%"
"09/20/2023","7.8224","7.8200","7.8243","7.8194","","0.03%"
"09/19/2023","7.8201","7.8183","7.8211","7.8140","","0.02%"
"09/18/2023","7.8183","7.8260","7.8279","7.8175","","-0.09%"
"09/15/2023","7.8257","7.8285","7.8300","7.8251","","-0.03%"
"09/14/2023","7.8283","7.8260","7.8299","7.8243","","0.03%"
"09/13/2023","7.8257","7.8270","7.8292","7.8233","","-0.02%"
"09/12/2023","7.8269","7.8323","7.8341","7.8268","","-0.06%"
"09/11/2023","7.8318","7.8403","7.8415","7.8312","","-0.10%"
"09/08/2023","7.8396","7.8396","7.8415","7.8353","","0.01%"
"09/07/2023","7.8391","7.8425","7.8432","7.8362","","-0.04%"
"09/06/2023","7.8424","7.8412","7.8439","7.8401","","0.02%"
"09/05/2023","7.8407","7.8347","7.8417","7.8340","","0.09%"
"09/04/2023","7.8339","7.8450","7.8466","7.8317","","-0.14%"
"09/01/2023","7.8450","7.8418","7.8464","7.8407","","0.04%"
"08/31/2023","7.8417","7.8476","7.8478","7.8412","","-0.07%"
"08/30/2023","7.8470","7.8467","7.8481","7.8436","","0.01%"
"08/29/2023","7.8465","7.8460","7.8475","7.8434","","0.01%"
"08/28/2023","7.8458","7.8442","7.8465","7.8425","","0.03%"
"08/25/2023","7.8437","7.8425","7.8455","7.8404","","0.02%"
"08/24/2023","7.8423","7.8417","7.8433","7.8380","","0.02%"
"08/23/2023","7.8409","7.8371","7.8425","7.8359","","0.06%"
"08/22/2023","7.8365","7.8380","7.8394","7.8323","","-0.02%"
"08/21/2023","7.8379","7.8330","7.8396","7.8319","","0.06%"
"08/18/2023","7.8329","7.8295","7.8337","7.8250","","0.04%"
"08/17/2023","7.8294","7.8312","7.8334","7.8263","","-0.02%"
"08/16/2023","7.8310","7.8232","7.8320","7.8228","","0.10%"
"08/15/2023","7.8230","7.8195","7.8246","7.8187","","0.04%"
"08/14/2023","7.8195","7.8180","7.8212","7.8145","","0.03%"
"08/11/2023","7.8173","7.8191","7.8201","7.8123","","-0.02%"
"08/10/2023","7.8191","7.8211","7.8215","7.8154","","-0.02%"
"08/09/2023","7.8209","7.8142","7.8217","7.8115","","0.09%"
"08/08/2023","7.8141","7.8071","7.8147","7.8060","","0.09%"
"08/07/2023","7.8069","7.8113","7.8118","7.8054","","-0.05%"
"08/04/2023","7.8110","7.8064","7.8120","7.8053","","0.06%"
"08/03/2023","7.8061","7.8015","7.8085","7.8012","","0.06%"
"08/02/2023","7.8014","7.7941","7.8025","7.7930","","0.10%"
"08/01/2023","7.7934","7.7981","7.8011","7.7925","","-0.05%"
"07/31/2023","7.7975","7.7966","7.8030","7.7955","","0.02%"
"07/28/2023","7.7958","7.8025","7.8061","7.7956","","-0.08%"
"07/27/2023","7.8023","7.8010","7.8039","7.7938","","0.02%"
"07/26/2023","7.8009","7.8117","7.8123","7.7987","","-0.13%"
"07/25/2023","7.8111","7.8131","7.8148","7.8099","","-0.02%"
"07/24/2023","7.8130","7.8176","7.8183","7.8113","","-0.05%"
"07/21/2023","7.8170","7.8137","7.8180","7.8128","","0.04%"
"07/20/2023","7.8137","7.8092","7.8142","7.8063","","0.06%"
"07/19/2023","7.8090","7.8138","7.8142","7.8032","","-0.05%"
"07/18/2023","7.8128","7.8137","7.8186","7.8106","","-0.01%"
"07/17/2023","7.8138","7.8147","7.8151","7.8094","","0.00%"
"07/14/2023","7.8138","7.8221","7.8222","7.8131","","-0.10%"
"07/13/2023","7.8219","7.8263","7.8270","7.8194","","-0.05%"
"07/12/2023","7.8260","7.8269","7.8297","7.8253","","-0.01%"
"07/11/2023","7.8269","7.8278","7.8307","7.8238","","-0.01%"
"07/10/2023","7.8278","7.8271","7.8317","7.8270","","0.01%"
"07/07/2023","7.8269","7.8218","7.8294","7.8200","","0.07%"
"07/06/2023","7.8217","7.8224","7.8235","7.8126","","-0.01%"
"07/05/2023","7.8222","7.8309","7.8321","7.8204","","-0.11%"
"07/04/2023","7.8308","7.8344","7.8348","7.8281","","-0.04%"
"07/03/2023","7.8336","7.8368","7.8382","7.8314","","-0.03%"
"06/30/2023","7.8360","7.8385","7.8389","7.8335","","-0.03%"
"06/29/2023","7.8384","7.8326","7.8390","7.8312","","0.08%"
"06/28/2023","7.8325","7.8334","7.8345","7.8296","","-0.01%"
"06/27/2023","7.8334","7.8302","7.8345","7.8282","","0.04%"
"06/26/2023","7.8301","7.8302","7.8322","7.8260","","0.00%"
"06/23/2023","7.8298","7.8305","7.8317","7.8274","","-0.01%"
"06/22/2023","7.8304","7.8278","7.8313","7.8247","","0.03%"
"06/21/2023","7.8277","7.8257","7.8298","7.8230","","0.03%"
"06/20/2023","7.8257","7.8168","7.8264","7.8138","","0.12%"
"06/19/2023","7.8165","7.8202","7.8264","7.8129","","-0.04%"
"06/16/2023","7.8197","7.8215","7.8268","7.8182","","-0.02%"
"06/15/2023","7.8214","7.8313","7.8316","7.8205","","-0.13%"
"06/14/2023","7.8312","7.8333","7.8344","7.8298","","-0.03%"
"06/13/2023","7.8335","7.8352","7.8366","7.8326","","-0.02%"
"06/12/2023","7.8350","7.8391","7.8408","7.8321","","-0.05%"
"06/09/2023","7.8388","7.8366","7.8411","7.8331","","0.03%"
"06/08/2023","7.8364","7.8421","7.8422","7.8330","","-0.07%"
"06/07/2023","7.8420","7.8428","7.8443","7.8375","","-0.01%"
"06/06/2023","7.8430","7.8380","7.8440","7.8370","","0.06%"
"06/05/2023","7.8380","7.8376","7.8397","7.8362","","0.01%"
"06/02/2023","7.8375","7.8298","7.8382","7.8284","","0.10%"
"06/01/2023","7.8296","7.8296","7.8340","7.8288","","0.00%"
"05/31/2023","7.8298","7.8343","7.8380","7.8248","","-0.05%"
"05/30/2023","7.8341","7.8281","7.8351","7.8226","","0.08%"
"05/29/2023","7.8279","7.8331","7.8356","7.8260","","-0.07%"
"05/26/2023","7.8330","7.8349","7.8359","7.8319","","-0.02%"
"05/25/2023","7.8347","7.8292","7.8354","7.8271","","0.07%"
"05/24/2023","7.8291","7.8375","7.8384","7.8271","","-0.10%"
"05/23/2023","7.8369","7.8281","7.8380","7.8251","","0.11%"
"05/22/2023","7.8281","7.8169","7.8291","7.8127","","0.17%"
"05/19/2023","7.8152","7.8268","7.8275","7.8065","","-0.15%"
"05/18/2023","7.8266","7.8302","7.8317","7.8243","","-0.04%"
"05/17/2023","7.8301","7.8382","7.8390","7.8281","","-0.10%"
"05/16/2023","7.8380","7.8386","7.8398","7.8327","","-0.01%"
"05/15/2023","7.8385","7.8419","7.8453","7.8376","","-0.05%"
"05/12/2023","7.8421","7.8362","7.8435","7.8357","","0.08%"
"05/11/2023","7.8356","7.8314","7.8398","7.8254","","0.05%"
"05/10/2023","7.8315","7.8414","7.8422","7.8282","","-0.12%"
"05/09/2023","7.8412","7.8488","7.8494","7.8408","","-0.10%"
"05/08/2023","7.8487","7.8474","7.8493","7.8469","","0.02%"
"05/05/2023","7.8474","7.8478","7.8496","7.8466","","0.00%"
"05/04/2023","7.8473","7.8497","7.8500","7.8470","","-0.03%"
"05/03/2023","7.8499","7.8499","7.8503","7.8495","","0.00%"
"05/02/2023","7.8497","7.8498","7.8503","7.8494","","0.00%"
"05/01/2023","7.8497","7.8498","7.8503","7.8493","","0.00%"
